2025-05-22 19:07:42.5045 | INFO | LoggingManager | Sistema de logging configurado correctamente 
2025-05-22 19:07:42.9033 | INFO | InvSis.Data.PostgreSQLDataAccess | Instancia de acceso a datos creada correctamente 
2025-05-22 19:07:42.9033 | INFO | InvSis.Data.ProductosDataAccess | ProductosDataAccess inicializado correctamente 
2025-05-22 19:07:43.9759 | INFO | InvSis.Data.PostgreSQLDataAccess | Conexión a la base de datos establecida correctamente 
2025-05-22 19:07:44.1644 | INFO | InvSis.Data.ProductosDataAccess | Se obtuvieron 2 productos 
2025-05-22 19:07:46.6663 | INFO | InvSis.Data.ProductosDataAccess | ProductosDataAccess inicializado correctamente 
2025-05-22 19:07:46.7612 | INFO | InvSis.Data.ProductosDataAccess | Se obtuvieron 2 productos 
2025-05-22 19:08:21.7257 | INFO | InvSis.Data.PermisosDataAccess | Se obtuvieron 19 permisos de la base de datos 
2025-05-22 19:08:23.1600 | INFO | InvSis.Data.RolesDataAccess | Se obtuvieron 3 roles de la base de datos 
2025-05-22 19:08:23.2014 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-22 19:08:23.4004 | INFO | InvSis.Data.PermisosDataAccess | Se obtuvieron 15 permisos de la base de datos 
2025-05-22 19:08:23.4004 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-22 19:08:23.5117 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-22 19:08:23.7177 | INFO | InvSis.Data.PermisosDataAccess | Se obtuvieron 15 permisos de la base de datos 
2025-05-22 19:08:23.7177 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-22 19:08:23.8247 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-22 19:08:24.0246 | INFO | InvSis.Data.PermisosDataAccess | Se obtuvieron 15 permisos de la base de datos 
2025-05-22 19:08:24.0246 | TRACE | InvSis.Data.PostgreSQLDataAccess | [DETALLE COMPLETO] Parámetro: @IdRol = 3 
2025-05-22 19:27:55.9035 | INFO | LoggingManager | Sistema de logging configurado correctamente 
2025-05-22 19:27:56.1674 | INFO | InvSis.Data.PostgreSQLDataAccess | Instancia de acceso a datos creada correctamente 
2025-05-22 19:27:56.1674 | INFO | InvSis.Data.ProductosDataAccess | ProductosDataAccess inicializado correctamente 
2025-05-22 19:27:57.2463 | INFO | InvSis.Data.PostgreSQLDataAccess | Conexión a la base de datos establecida correctamente 
2025-05-22 19:27:57.4395 | INFO | InvSis.Data.ProductosDataAccess | Se obtuvieron 2 productos 
